Unnamed: 0,DienTich(m²),Phongngu,SoTang,PhongTam,Loai,TinhTrangNoiThat,HuongCuaChinh,HuongBanCong,Gia(Triệu),Duong,Phuong,Quan,ThanhPho,Gia_m²(Triệu)
0,62.0,2,0.0,2, Chung cư,Không có nội thất,,,2000.0,Đường Nguyễn Văn Quỳ,Phú Thuận,7,Tp Hồ Chí Minh,32.26
1,95.0,3,0.0,2, Chung cư, Nội thất cao cấp,,,5300.0,Đường Nguyễn Văn Linh,Tân Thuận Tây,7,Tp Hồ Chí Minh,55.79
2,75.0,2,5.0,2, Chung cư,Không có nội thất, Đông Nam, Đông Nam,2580.0,Đường Võ Văn Kiệt,An Lạc,Bình Tân,Tp Hồ Chí Minh,34.4
3,70.0,1,7.0,1, Chung cư, Nội thất cao cấp, Đông Nam, Tây Bắc,4000.0,108,2,Tân Bình,Tp Hồ Chí Minh,57.14
4,83.0,2,0.0,2, Chung cư, Nội thất cao cấp, Tây Bắc,,2950.0,Đường Hậu Giang,11,6,Tp Hồ Chí Minh,35.54
5,71.0,2,0.0,1, Chung cư,Không có nội thất,,,1980.0,196,4,8,Tp Hồ Chí Minh,27.89
6,71.0,2,0.0,2, Chung cư,Không có nội thất,,,2720.0,79-81,26,Bình Thạnh,Tp Hồ Chí Minh,38.31
7,78.0,2,9.0,2, Chung cư,Không có nội thất,,,2590.0,Đường Nguyễn Văn Linh,,,Tp Hồ Chí Minh,33.21
8,50.0,1,3.0,1, Chung cư, Hoàn thiện cơ bản, Nam, Bắc,1390.0,Đường Hồ Học Lãm,An Lạc,Bình Tân,Tp Hồ Chí Minh,27.8
9,40.0,1,0.0,1, Chung cư,Không có nội thất,,,150.0,Đường Nguyễn Văn Bứa,,,Tp Hồ Chí Minh,3.75
10,78.0,3,0.0,2, Chung cư,Không có nội thất,,,1950.0,96,Tân Tạo A,Bình Tân,Tp Hồ Chí Minh,25.0
11,43.0,1,0.0,1, Chung cư,Không có nội thất,,,955.0,601 Đường Tô Ngọc Vân,Tam Bình,Thủ Đức,Tp Hồ Chí Minh,22.21
12,59.0,2,0.0,1, Chung cư,Không có nội thất,,,1990.0,Đường Nguyễn Xiển,Long Thạnh Mỹ,9,Tp Hồ Chí Minh,33.73
13,80.0,4,0.0,4," Căn hộ dịch vụ, mini", Bàn giao thô, Đông Bắc, Tây Nam,4500.0,Đường Số 45,Trường Thạnh,9,Tp Hồ Chí Minh,56.25
14,59.0,2,0.0,1, Chung cư, Nội thất cao cấp,,,2070.0,Đường Nguyễn Xiển,Long Thạnh Mỹ,9,Tp Hồ Chí Minh,35.08
15,62.0,2,0.0,2, Chung cư, Hoàn thiện cơ bản, Đông Nam, Đông,1800.0,Đường Liên Phường,Phú Hữu,9,Tp Hồ Chí Minh,29.03
16,87.0,2,0.0,2, Chung cư, Nội thất cao cấp, Tây Bắc, Đông Nam,5600.0,Số 200,12,10,Tp Hồ Chí Minh,64.37
17,96.0,3,0.0,3, Chung cư,Không có nội thất,,,2400.0,Đường Liên Phường Quận 9,Quận 9,9,Tp Hồ Chí Minh,25.0
18,83.0,2,5.0,2, Chung cư, Nội thất cao cấp, Tây Nam, Đông Bắc,4500.0,208,22,Bình Thạnh,Tp Hồ Chí Minh,54.22
19,83.0,2,0.0,2, Chung cư,Không có nội thất,,,3515.0,Đường Nguyễn Hữu Thọ,,,Tp Hồ Chí Minh,42.35
20,50.0,1,0.0,1, Chung cư, Nội thất đầy đủ, Đông, Đông,1395.0,Đường Hồ Học Lãm,An Lạc,Bình Tân,Tp Hồ Chí Minh,27.9
21,56.0,1,0.0,1, Chung cư,Không có nội thất,,,3000.0,208,22,Bình Thạnh,Tp Hồ Chí Minh,53.57
22,51.0,2,6.0,1, Chung cư, Hoàn thiện cơ bản, Tây,,1700.0,10A,Trung Mỹ Tây,12,Tp Hồ Chí Minh,33.33
